,name,movie_directed,num_of_movie,sum_score,sum_nor_popularity,avg_score,avg_nor_popularity,nor_movie_count,scaled_avg_score
418,Abhinay Deo,"['tm177258', 'tm172883', 'tm272854']",3,18.85,16.0,6.283333333333334,5.333333333333333,2.9478373494331396,0.63
419,T.J. Martin,['tm174190'],1,7.7,5.5,7.7,5.5,0.0,0.77
420,Daniel Lindsay,['tm174190'],1,7.7,5.5,7.7,5.5,0.0,0.77
421,Ernie Barbarash,"['tm65765', 'tm327199', 'tm359714', 'tm838687']",4,23.45,24.2,5.8625,6.05,3.8968290113739616,0.59
422,Jordan Brady,['tm49451'],1,7.0,3.8,7.0,3.8,0.0,0.7
423,Michaël Prazan,['tm1096916'],1,7.9,3.1,7.9,3.1,0.0,0.79
424,Johnnie To,"['tm176128', 'tm165504']",2,12.75,9.8,6.375,4.9,1.7243743076436346,0.64
425,Wai Ka-fai,['tm176128'],1,6.55,4.6000000000000005,6.55,4.6000000000000005,0.0,0.66
426,Jay Karas,"['tm67444', 'tm149038', 'tm245235', 'tm220317', 'tm227922', 'tm233023', 'tm242002', 'tm426202', 'tm300447', 'tm409494', 'tm366973', 'tm353627', 'tm836674', 'tm813936']",14,95.1,68.0,6.792857142857143,4.857142857142857,8.569040668450736,0.68
427,Clay Glen,"['tm183176', 'tm242765', 'tm374357', 'tm1079495']",4,23.15,18.5,5.7875,4.625,3.8968290113739616,0.58
428,Savage Steve Holland,"['tm40860', 'tm158671', 'tm474061', 'tm918373']",4,23.0,19.5,5.75,4.875,3.8968290113739616,0.58
429,Tigmanshu Dhulia,"['tm35700', 'tm167107']",2,14.55,10.8,7.275,5.4,1.7243743076436346,0.73
430,Claudio Fäh,['tm170395'],1,6.05,5.300000000000001,6.05,5.300000000000001,0.0,0.6
431,Krishna D.K.,['tm169053'],1,6.800000000000001,5.0,6.800000000000001,5.0,0.0,0.68
432,Raj Nidimoru,['tm169053'],1,6.800000000000001,5.0,6.800000000000001,5.0,0.0,0.68
433,Jonathan Judge,['tm53395'],1,3.8,5.0,3.8,5.0,0.0,0.38
434,Esen Işık,['tm177958'],1,7.3,5.699999999999999,7.3,5.699999999999999,0.0,0.73
435,Nitesh Tiwari,['tm178106'],1,7.25,5.0,7.25,5.0,0.0,0.73
436,Vikas Bahl,"['tm178106', 'tm156811', 'tm227044']",3,19.25,16.6,6.416666666666667,5.533333333333334,2.9478373494331396,0.64
437,Hala Lotfy,['tm169354'],1,5.95,3.2,5.95,3.2,0.0,0.6
438,Derek Yee Tung-Sing,['tm176111'],1,6.0,4.8,6.0,4.8,0.0,0.6
439,Arnab Chaudhuri,['tm59372'],1,6.45,2.7,6.45,2.7,0.0,0.64
440,Tolga Karaçelik,['tm161804'],1,6.35,4.8,6.35,4.8,0.0,0.64
441,Rajesh Mapuskar,['tm44615'],1,6.300000000000001,5.0,6.300000000000001,5.0,0.0,0.63
442,Yoshitomo Yonetani,"['tm54780', 'tm152273']",2,12.8,7.8,6.4,3.9,1.7243743076436346,0.64
443,Prabhu Deva,['tm59289'],1,5.9,5.9,5.9,5.9,0.0,0.59
